Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.31,0.01,0.4150328094115994
100% Corpus,4,0.31,0.31,0.4147823521868294
100% Corpus,4,0.31,0.61,0.4147823521868294
100% Corpus,4,0.31,0.9099999999999999,0.4122321704990727
100% Corpus,4,0.31,symmetric,0.4147823521868294
100% Corpus,4,0.61,0.01,0.3942238748236442
100% Corpus,4,0.61,0.31,0.40181984394859827
100% Corpus,4,0.61,0.61,0.40822063466688824
100% Corpus,4,0.61,0.9099999999999999,0.40822063466688824
100% Corpus,4,0.61,symmetric,0.396609884763699
100% Corpus,4,0.9099999999999999,0.01,0.39805273527915663
100% Corpus,4,0.9099999999999999,0.31,0.4064560054982192
100% Corpus,4,0.9099999999999999,0.61,0.40660527072982144
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.409268038395388
100% Corpus,4,0.9099999999999999,symmetric,0.4001190054721816
100% Corpus,4,symmetric,0.01,0.4188029925615774
100% Corpus,4,symmetric,0.31,0.41041158544841866
100% Corpus,4,symmetric,0.61,0.4107346394972967
100% Corpus,4,symmetric,0.9099999999999999,0.40353048239786776
100% Corpus,4,symmetric,symmetric,0.40905301958568174
100% Corpus,4,asymmetric,0.01,0.44181943224719
100% Corpus,4,asymmetric,0.31,0.4416797561917851
100% Corpus,4,asymmetric,0.61,0.4442724098216143
100% Corpus,4,asymmetric,0.9099999999999999,0.44026449104052373
100% Corpus,4,asymmetric,symmetric,0.4424101625346146
100% Corpus,6,0.01,0.01,0.38929957772522855
100% Corpus,6,0.01,0.31,0.38694233341748957
100% Corpus,6,0.01,0.61,0.3890819153876319
100% Corpus,6,0.01,0.9099999999999999,0.3886705147790273
100% Corpus,6,0.01,symmetric,0.3873486725235941
100% Corpus,6,0.31,0.01,0.41119433466929817
100% Corpus,6,0.31,0.31,0.38478712994796505
100% Corpus,6,0.31,0.61,0.40901043539434917
100% Corpus,6,0.31,0.9099999999999999,0.4117463039824598
100% Corpus,6,0.31,symmetric,0.4034130622497309
100% Corpus,6,0.61,0.01,0.40851598272422246
100% Corpus,6,0.61,0.31,0.40674735493717007
100% Corpus,6,0.61,0.61,0.41749738304920037
100% Corpus,6,0.61,0.9099999999999999,0.4111170986771942
100% Corpus,6,0.61,symmetric,0.411864034930604
100% Corpus,6,0.9099999999999999,0.01,0.40182055072710915
100% Corpus,6,0.9099999999999999,0.31,0.4089299921477208
100% Corpus,6,0.9099999999999999,0.61,0.40725392378068476
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4122317317062498
100% Corpus,6,0.9099999999999999,symmetric,0.39663800507017116
100% Corpus,6,symmetric,0.01,0.39085497744369785
100% Corpus,6,symmetric,0.31,0.39718142739778045
100% Corpus,6,symmetric,0.61,0.39310004814277244
100% Corpus,6,symmetric,0.9099999999999999,0.39271824058919774
100% Corpus,6,symmetric,symmetric,0.407305705209198
100% Corpus,6,asymmetric,0.01,0.3947794942907454
100% Corpus,6,asymmetric,0.31,0.3927971271151258
100% Corpus,6,asymmetric,0.61,0.3961379349754826
100% Corpus,6,asymmetric,0.9099999999999999,0.4203999522975572
100% Corpus,6,asymmetric,symmetric,0.3879785627333731
100% Corpus,8,0.01,0.01,0.3932488032065625
100% Corpus,8,0.01,0.31,0.40306859394932626
100% Corpus,8,0.01,0.61,0.3936550348368032
100% Corpus,8,0.01,0.9099999999999999,0.396268841171165
100% Corpus,8,0.01,symmetric,0.39959541524794817
100% Corpus,8,0.31,0.01,0.39380438106581866
100% Corpus,8,0.31,0.31,0.4052546648824723
100% Corpus,8,0.31,0.61,0.40395538659125446
100% Corpus,8,0.31,0.9099999999999999,0.39967253255846424
100% Corpus,8,0.31,symmetric,0.40218593087300636
100% Corpus,8,0.61,0.01,0.37240602866049066
100% Corpus,8,0.61,0.31,0.380768108587939
100% Corpus,8,0.61,0.61,0.3869328483382438
100% Corpus,8,0.61,0.9099999999999999,0.4000102157685771
100% Corpus,8,0.61,symmetric,0.37602667154088537
100% Corpus,8,0.9099999999999999,0.01,0.3630054346819982
100% Corpus,8,0.9099999999999999,0.31,0.38138425188593533
100% Corpus,8,0.9099999999999999,0.61,0.4018080242175659
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4071721270914853
100% Corpus,8,0.9099999999999999,symmetric,0.3651988312256009
